skills_text,domain_label,difficulty_level
"machine learning, numpy, ONNX, huggingface, agile, OpenCV, pandas, NLP, computer vision, python, LSTM",AI/ML Engineer,Medium
"Bash scripting, Linux, time management, monitoring, Prometheus, Terraform, Jenkins, Git, agile, Docker, automation",DevOps Engineer,Easy
"data visualization, business intelligence, Google Sheets, Tableau, Tableau Desktop, Tableau Server, leadership, documentation, SQL",Data Analyst,Easy
"time management, teamwork, Redux, TypeScript, Android, Bluetooth, performance optimization, Git, push notifications, React Native, Flutter, JavaScript",Mobile App Developer,Hard
"Python, Node.js, time management, SQL, authentication, Django, MongoDB, REST API, Docker, server-side development, Go",Backend Developer,Medium
"Docker, automation, Bash scripting, Istio, Linux, AWS, CI/CD, Kubernetes, Grafana, monitoring, Prometheus, communication",DevOps Engineer,Hard
"SPI, C++, DSP, firmware, oscilloscope, microcontrollers, presentation, Python, I2C, FreeRTOS, debugging",Embedded Systems Engineer,Medium
"JWT, Node.js, Express, HTML, PostgreSQL, GraphQL, communication",Full Stack Developer,Medium
"SLA design, VPC, Docker, Pulumi, cloud architecture, Kubernetes, Azure, IAM, AWS, Lambda, serverless",Cloud Engineer,Hard
"Express, JavaScript, Next.js, NodeJS, NoSQL, MongoDB, Mongo, REST API, Git, OAuth, CSS, HTML, Node, Node.js",Full Stack Developer,Medium
"HTML, REST API, Node.js, Express, scrum, JavaScript, time management, PostgreSQL, Git",Full Stack Developer,Easy
"clustering, data wrangling, numpy, python, A/B testing, regression, Spark, pandas, scikit-learn, communication, classification",Data Scientist,Medium
"teamwork, SQL, design patterns, memory management, algorithms, debugging, OOP, Git, scrum",Software Engineer,Medium
"ELK stack, runbooks, Linux, on-call, Kubernetes, Python, Terraform, observability, Grafana",Site Reliability Engineer,Medium
"iOS, React Native, Flutter, mobile UI, Confluence, Flutter/Dart, JavaScript, Git, Dart, presentation, push notifications, Android, Google Flutter, Swift",Mobile App Developer,Medium
"threat intelligence, cryptography, compliance, penetration testing, firewalls, SOC, OWASP, Linux, SIEM",Cybersecurity Analyst,Medium
"Terraform, teamwork, ELK stack, SLO/SLA, on-call, incident management, Git, Confluence, Linux, Go, runbooks",Site Reliability Engineer,Medium
"authentication, Docker, fast api, Flask, FastAPI, server-side development, database optimization, SQL, MongoDB, Python API, Django",Backend Developer,Medium
"Prometheus, Jenkins, Linux, GitOps, Bash scripting, service mesh, CI/CD",DevOps Engineer,Hard
"scikit-learn, huggingface, neural networks, deep learning, OpenCV, model evaluation, numpy, machine learning, computer vision, python",AI/ML Engineer,Easy
"visual regression, Selenium, Pytest, Git, test planning, Python, test automation, Postman, Cypress",QA Automation Engineer,Medium
"tensorflow, TensorFlow, RNN, RLHF, scikit-learn, transformers, TF, machine learning, keras, deep learning, distributed training",AI/ML Engineer,Medium
"huggingface, triton, numpy, leadership, python, pandas, MLOps, scikit-learn, transformers, RLHF, scrum, OpenCV, computer vision, NLP",AI/ML Engineer,Hard
"Rust, Java, problem solving, code review, Go, unit testing, distributed systems, Jira, debugging, Python, OOP, C++, teamwork",Software Engineer,Hard
"leadership, Terraform, Python, SLO/SLA, Grafana, incident management, Git, communication",Site Reliability Engineer,Easy
"ZK proofs, Solidity, Web3.js, smart contracts, DeFi, cryptography, Hardhat",Blockchain Developer,Medium
"Lambda, GCP, teamwork, networking, Google Cloud, CDN, VPC, IAM, Google Cloud Platform, Docker, load balancing, cloud architecture, Jira",Cloud Engineer,Easy
"time management, scrum, Linux, SIEM, Python, OWASP, network security",Cybersecurity Analyst,Easy
"firewalls, compliance, incident response, threat detection, security information and event management, Linux, SIEM, documentation, cryptography, malware analysis",Cybersecurity Analyst,Medium
"documentation, JavaScript, mobile UI, Dart, offline-first, React Native, Redux, ARKit, Flutter, Firebase",Mobile App Developer,Medium
"Flutter, ARKit, Android, Kotlin, JavaScript, mobile UI, TypeScript, Firebase, REST API",Mobile App Developer,Medium
"Grafana, Docker, AWS, Kubernetes, CI/CD, continuous deployment, GitOps, pipeline, Bash scripting, continuous integration, Terraform, Jenkins, service mesh",DevOps Engineer,Hard
"compliance, threat detection, firewalls, OWASP, Linux, incident response, Python, cryptography, red teaming",Cybersecurity Analyst,Medium
"test planning, Cucumber, BDD, Python, Selenium, SQL",QA Automation Engineer,Easy
"I2C, UART, firmware, RTOS, SPI, time management, real-time operating system, C++, ARM, presentation, oscilloscope",Embedded Systems Engineer,Easy
"teamwork, Kotlin, Android, documentation, Flutter, Git, Swift, Dart, REST API, JavaScript",Mobile App Developer,Easy
"scrum, Git, Firebase, agile, JavaScript, iOS, TypeScript, Kotlin, REST API, push notifications, mobile UI, Android",Mobile App Developer,Medium
"pipeline, continuous deployment, Docker, Jenkins, Prometheus, CI/CD, continuous integration, AWS",DevOps Engineer,Medium
"React Native, Kotlin, performance optimization, Dart, Flutter, JavaScript, Firebase",Mobile App Developer,Medium
"Looker, SQL, KPI tracking, data cleaning, business intelligence, Excel, Google Sheets, communication, Snowflake",Data Analyst,Medium
"threat intelligence, ethical hacking, Python, Jira, Linux, firewalls, CVE research, OWASP, scrum, Nmap, pen testing, SOC, compliance, penetration testing",Cybersecurity Analyst,Medium
"GraphQL, MongoDB, SSR, React, Node.js, documentation, PostgreSQL, JWT, CI/CD, Docker, Git, HTML, CSS",Full Stack Developer,Hard
"Git, communication, Python, contract testing, test planning, CI/CD, Postman, visual regression, Pytest, SQL",QA Automation Engineer,Hard
"scikit-learn, R, numpy, A/B testing, statistics, SQL, seaborn, matplotlib, hypothesis testing, pandas, regression",Data Scientist,Medium
"automation, agile, Linux, time management, Prometheus, Python, CI/CD, monitoring",DevOps Engineer,Medium
"observability, SLO/SLA, Docker, Git, on-call, capacity planning, Linux",Site Reliability Engineer,Medium
"wireframing, prototyping, interaction design, Adobe XD, accessibility, agile, Figma design, user research, time management, design systems, Framer, information architecture, user flows, Figma, UI design tool",UI/UX Designer,Medium
"distributed tracing, OpenTelemetry, Git, ELK stack, Go, Python, Linux, observability, incident management, Jira",Site Reliability Engineer,Hard
"JavaScript, Solidity, Go, NFT, DeFi, Hardhat, smart contracts, Web3.js, smart contract language, IPFS",Blockchain Developer,Medium
"IPFS, Truffle, Solidity, Rust, web3, smart contracts, Web3.js, Web3, JavaScript, DeFi, Go",Blockchain Developer,Medium
"penetration testing, firewalls, Python, time management, Nmap, OWASP, Linux",Cybersecurity Analyst,Easy
"Linux, AWS, networking, Pulumi, Lambda, load balancing, CDN",Cloud Engineer,Medium
"Python, leadership, ETL, data visualization, reporting, Excel, Power BI, SQL, business intelligence",Data Analyst,Easy
"Go, DeFi, cryptography, Ethereum, consensus algorithms, Hardhat, Solidity, smart contract language",Blockchain Developer,Medium
"regression, numpy, clustering, python, hypothesis testing, Jupyter, matplotlib, pandas, seaborn, causal inference, agile, statistics",Data Scientist,Medium
"SLO/SLA, error budgets, on-call, Terraform, Docker, Linux, Go, toil reduction, observability, incident management, ELK, distributed tracing, Elasticsearch Logstash Kibana, ELK stack",Site Reliability Engineer,Hard
"RTOS, Linux kernel, Python, I2C, ARM, presentation, C, oscilloscope",Embedded Systems Engineer,Easy
"Jupyter, Bayesian statistics, regression, matplotlib, python, hypothesis testing, pandas, feature selection, communication, data wrangling",Data Scientist,Medium
"SQL, behavior-driven development, Python, CI/CD, Git, BDD, JUnit, JMeter, test planning",QA Automation Engineer,Medium
"hypothesis testing, communication, SQL, clustering, dbt, feature selection, statistics, pandas, causal inference, data wrangling, seaborn, scrum",Data Scientist,Medium
"Bash scripting, FinOps, Jenkins, Prometheus, Git, Ansible, Docker",DevOps Engineer,Medium
"Pact, SQL, teamwork, test automation, Python, k6, Jira, Cucumber, Git, test planning, Selenium",QA Automation Engineer,Medium
"Confluence, debugging, data structures, code review, system design, unit testing, OOP, documentation",Software Engineer,Easy
"code review, Linux, algorithms, Git, Java, data structures, agile",Software Engineer,Easy
"cloud architecture, CloudFormation, IAM, cloud security, cost optimization, GCP, Docker, leadership, Terraform, Confluence, load balancing",Cloud Engineer,Hard
"wireframing, interaction design, prototyping, component libraries, information architecture, Sketch, motion design, design systems, accessibility, user research, HTML, service design",UI/UX Designer,Hard
"monitoring, Kubernetes, time management, Docker, Terraform, K8s, Prometheus, Ansible, Confluence, Jenkins, container orchestration, CI/CD",DevOps Engineer,Medium
"I2C, oscilloscope, microcontrollers, C, Linux kernel, real-time operating system, C++, RTOS",Embedded Systems Engineer,Easy
"Swift, JavaScript, Android, Git, Firebase, iOS, TypeScript, React Native, Dart",Mobile App Developer,Easy
"microservices, Next.js, Express, Jira, MongoDB, CSS, REST API, JavaScript, scrum, React.js, ReactJS, React",Full Stack Developer,Medium
"Confluence, CSS, Sketch, prototyping, user research, accessibility",UI/UX Designer,Easy
"Node.js, Docker, CSS, Redux, JavaScript, GraphQL, WebSockets, REST API",Full Stack Developer,Medium
"DeFi, Cosmos SDK, consensus algorithms, Ethereum, Web3.js, Solidity, Rust, IPFS",Blockchain Developer,Medium
"reliability targets, capacity planning, Go, service level objectives, Grafana, SLO/SLA, Linux, Kubernetes, Docker, observability, time management, AWS",Site Reliability Engineer,Hard
"iOS, REST API, Redux, JavaScript, mobile UI, Confluence, time management, TypeScript, Git, offline-first",Mobile App Developer,Medium
"firmware, Python, C, oscilloscope, microcontrollers, ARM, debugging, C++, Linux kernel, SPI, Jira",Embedded Systems Engineer,Easy
"Selenium, Git, SQL, Python, contract testing, test planning, JUnit, JMeter, BDD, test automation, leadership, Docker",QA Automation Engineer,Medium
"Airflow, hypothesis testing, presentation, pandas, Jupyter, statistics, agile, matplotlib, Spark, feature selection, R, seaborn, regression",Data Scientist,Hard
"python, SQL, pandas, data wrangling, documentation, regression, scikit-learn, Airflow, clustering, statistics, Confluence, seaborn",Data Scientist,Medium
"Web3.js, Solidity, JavaScript, ZK proofs, consensus algorithms, Rust, NFT, Go, Ethereum",Blockchain Developer,Hard
"k6, JUnit, BDD, Selenium WebDriver, CI/CD, Selenium, Python, Cucumber, test automation, test planning, contract testing, Cypress",QA Automation Engineer,Hard
"API testing, SQL, Docker, Cypress, Cucumber, presentation, test automation, Python, BDD, test planning",QA Automation Engineer,Easy
"Pytest, Python, presentation, Docker, performance testing, Git, test automation, CI/CD, Cypress, documentation",QA Automation Engineer,Medium
"Tableau, PowerBI, Excel, Power BI, KPI tracking, Python, reporting, SQL, data visualization, Google Sheets, pivot tables, Microsoft Power BI, Confluence, agile",Data Analyst,Easy
"Microsoft Power BI, Power BI, Google Sheets, Jira, ETL, Excel, data visualization, agile, PowerBI",Data Analyst,Easy
"wireframing, low-fidelity design, information architecture, prototyping, user flows, wireframes, Adobe XD, eye tracking, Sketch",UI/UX Designer,Medium
"data cleaning, reporting, ETL, KPI tracking, window functions, Excel, data visualization",Data Analyst,Medium
"microservices, authentication, caching strategies, Git, SQL, Node.js, MongoDB, Go, JWT, communication, server-side development, Docker, PostgreSQL",Backend Developer,Hard
"Sketch, time management, user research, wireframing, Adobe XD, Figma, accessibility, user flows, information architecture, design systems, communication, Framer, component libraries, prototyping",UI/UX Designer,Medium
"automation, Linux, Grafana, monitoring, CI/CD, Terraform, GitOps, Kubernetes, Git",DevOps Engineer,Hard
"HTML, usability testing, user research, CSS, prototyping, interaction design",UI/UX Designer,Easy
"CSS, design systems, interaction design, low-fidelity design, prototyping, user flows, wireframes, wireframing, HTML, usability testing, documentation",UI/UX Designer,Easy
"Python, data structures, SQL, Linux, Jira, Git, performance profiling, design patterns, leadership",Software Engineer,Medium
"firmware, documentation, SPI, Linux kernel, ARM, UART, FreeRTOS, microcontrollers, C, RTOS",Embedded Systems Engineer,Easy
"SIEM, SOC, compliance, firewalls, cryptography, communication, documentation, network security, malware analysis, penetration testing, Linux",Cybersecurity Analyst,Medium
"API testing, Python, Selenium, test automation, time management, Pytest, test planning, documentation, Docker, Cypress",QA Automation Engineer,Easy
"machine learning, numpy, CNN, convolutional neural network, feature engineering, torch, NLP, python, LSTM, PyTorch, image classification, pytorch, scikit-learn, OpenCV",AI/ML Engineer,Easy
"GraphQL, Node.js, scrum, CI/CD, JavaScript, CSS, Next.js, PostgreSQL, HTML, TypeScript, presentation",Full Stack Developer,Medium
"Git, design patterns, teamwork, problem solving, Python, presentation, system design, code review, OOP, Linux, C++, algorithms, compiler design",Software Engineer,Medium
"Lambda, Linux, scrum, cloud architecture, S3, CDN",Cloud Engineer,Easy
"Git, Rust, object-oriented programming, algorithms, SQL, Python, OOP, system design, memory management, object oriented",Software Engineer,Medium
"React Native, Kotlin, cross-platform mobile, mobile UI, Flutter/Dart, JavaScript, Google Flutter, performance optimization, RN, Jira, Redux, Swift, Git, Dart, Flutter, TypeScript",Mobile App Developer,Medium
"Adobe XD, Sketch, accessibility, design systems, Confluence, prototyping, agile, eye tracking, usability testing, Figma, information architecture, service design, user research",UI/UX Designer,Medium
"FreeRTOS, GPIO, UART, bootloader development, RTOS, firmware, C, safety-critical systems, ARM, debugging",Embedded Systems Engineer,Medium
"API testing, BDD, contract testing, chaos testing, Cypress, Python, test planning, Postman, JMeter, Docker, scrum",QA Automation Engineer,Hard
"Go, Truffle, smart contract language, smart contracts, Solidity, documentation, Ethereum, cryptography",Blockchain Developer,Medium
"regression, statistics, scrum, clustering, scikit-learn, pandas, documentation",Data Scientist,Easy
"zero trust, presentation, network security, cryptography, vulnerability assessment, Nmap, threat detection, firewalls, Linux, penetration testing",Cybersecurity Analyst,Medium
"JavaScript, iOS, React Native, Firebase, Flutter, cross-platform mobile, mobile UI, push notifications, RN, app store deployment, presentation, Kotlin",Mobile App Developer,Medium
"wireframing, user flows, HTML, prototyping, information architecture, accessibility, motion design, Figma, Sketch, communication",UI/UX Designer,Medium
"Elasticsearch Logstash Kibana, Docker, on-call, Linux, Grafana, Prometheus, observability, AWS, ELK stack, ELK",Site Reliability Engineer,Medium
"server-side development, gRPC, JWT, SQL, Docker, PostgreSQL, Flask, Redis, authentication",Backend Developer,Medium
"KPI tracking, pivot tables, reporting, ETL, SQL, Power BI",Data Analyst,Easy
"Wireshark, pen testing, firewalls, CVE research, ethical hacking, network security, penetration testing, Python, Linux, SIEM",Cybersecurity Analyst,Medium
"Go, caching strategies, Python, Docker, Git, Node.js, SQL, Kafka, communication, authentication",Backend Developer,Hard
"Jira, automation, SRE practices, CI/CD, agile, monitoring, Python, Grafana, Ansible",DevOps Engineer,Medium
"Jira, FreeRTOS, I2C, RTOS, agile, C++, Linux kernel, microcontrollers, FPGA, GPIO",Embedded Systems Engineer,Medium
"Sketch, wireframes, prototyping, interaction design, Figma, low-fidelity design, accessibility, design systems, wireframing",UI/UX Designer,Easy
"Azure, AWS, Google Cloud, Amazon cloud, load balancing, CloudFormation, Google Cloud Platform, networking, SLA design, GCP, Linux, serverless, Amazon Web Services, Terraform",Cloud Engineer,Hard
"Prometheus, ELK stack, toil reduction, observability, Docker, Linux, Confluence, Python, Terraform, AWS, on-call, distributed tracing, incident management",Site Reliability Engineer,Hard
"data wrangling, Jupyter, numpy, clustering, feature selection, python, classification",Data Scientist,Easy
"power optimization, C++, firmware, RTOS, real-time operating system, microcontrollers, UART, Linux kernel, GPIO",Embedded Systems Engineer,Medium
"Python, C++, I2C, UART, RTOS, oscilloscope, GPIO, DSP, agile, C, Linux kernel, leadership, microcontrollers",Embedded Systems Engineer,Medium
"distributed tracing, SLO/SLA, Kubernetes, toil reduction, Python, Jaeger, Grafana, reliability targets, teamwork, service level objectives, Terraform",Site Reliability Engineer,Hard
"Web3.js, Web3, web3, Ethereum, presentation, leadership, consensus algorithms, Solidity, cryptography, JavaScript",Blockchain Developer,Easy
"Nmap, forensics, SIEM, OWASP, threat detection, Jira, compliance, network security, Linux, Wireshark",Cybersecurity Analyst,Medium
"Docker, Selenium, Playwright, CI/CD, JMeter, Git, Cucumber, Python, SQL, JUnit",QA Automation Engineer,Hard
"Kotlin, Git, Flutter, React Native, mobile UI, Redux, TypeScript, Jira",Mobile App Developer,Easy
"MongoDB, Mongo, PostgreSQL, React, NoSQL, CSS, Next.js, microservices, HTML",Full Stack Developer,Medium
"cloud architecture, Azure, IAM, Linux, Docker, Lambda, networking, FinOps",Cloud Engineer,Medium
"pipeline, Jenkins, AWS, continuous deployment, Git, continuous integration, CI/CD, Prometheus",DevOps Engineer,Medium
"regression, scikit-learn, Bayesian statistics, numpy, python, Jupyter, pandas, matplotlib, statistics",Data Scientist,Medium
"SQL, algorithms, memory management, unit testing, system design, Git, leadership, C++, scrum, problem solving",Software Engineer,Medium
"Redis, REST API, server-side development, Go, Git, Python, PostgreSQL, leadership, Django, gRPC",Backend Developer,Medium
"Web3.js, smart contracts, consensus algorithms, Solidity, JavaScript, Rust, Ethereum, documentation, Jira",Blockchain Developer,Medium
"cloud architecture, IAM, EC2, Docker, Kubernetes, Lambda, Linux, CDN",Cloud Engineer,Medium
"Jira, Prometheus, Terraform, Git, observability, leadership, Docker, Linux, Go, incident management",Site Reliability Engineer,Medium
"NodeJS, React.js, Node, ReactJS, Next.js, MongoDB, JWT, Docker, REST API, Express, JavaScript, Node.js, React, PostgreSQL",Full Stack Developer,Medium
"AWS, CDN, Linux, load balancing, Pulumi, cloud architecture, Azure, networking, Terraform",Cloud Engineer,Medium
"web3, NFT, DeFi, cross-chain bridges, smart contracts, Web3.js, Truffle, consensus algorithms, Web3, Solidity, Ethereum, Hardhat",Blockchain Developer,Medium
"C++, firmware, Jira, SPI, UART, leadership, AUTOSAR, DSP, debugging, microcontrollers, oscilloscope, FreeRTOS, ARM",Embedded Systems Engineer,Medium
"Python, Linux, teamwork, malware analysis, OWASP, vulnerability assessment, compliance, SOC, firewalls, SIEM",Cybersecurity Analyst,Medium
